record_type	word_count	url	title
PDF document	13568	https://arxiv.org/pdf/2309.06180	Efficient Memory Management for Large Language Model Serving with PagedAttention
bookmark	0	https://sankalp.bearblog.dev/how-prompt-caching-works/	How prompt caching works - Paged Attention and Automatic Prefix Caching plus practical tips | sankalp's blog
bookmark	0	https://www.aleksagordic.com/blog/vllm	Inside vLLM: Anatomy of a High-Throughput LLM Inference System - Aleksa Gordić
bookmark	0	https://www.aleksagordic.com/blog/vllm	Inside vLLM: Anatomy of a High-Throughput LLM Inference System - Aleksa Gordić
bookmark	0	https://kipp.ly/transformer-inference-arithmetic/	Transformer Inference Arithmetic | kipply's blog
bookmark	0	https://magazine.sebastianraschka.com/p/coding-the-kv-cache-in-llms	Understanding and Coding the KV Cache in LLMs from Scratch
bookmark	0	https://www.baseten.co/resources/guide/the-baseten-inference-stack/	The Baseten Inference Stack | Guides
bookmark	0	https://ankitbko.github.io/blog/2025/08/prompt-engineering-kv-cache/	KV-Cache Aware Prompt Engineering - How Stable Prefixes Unlock 65% Latency Improvements | F5 - Squashing Bugs
bookmark	0	https://github.com/vllm-project/vllm	vllm-project/vllm: A high-throughput and memory-efficient inference and serving engine for LLMs
bookmark	0	https://www.youtube.com/watch?v=kCc8FmEb1nY&t=905s	(1712) Let's build GPT: from scratch, in code, spelled out. - YouTube
bookmark	0	https://docs.nvidia.com/nim/benchmarking/llm/latest/metrics.html	Metrics — NVIDIA NIM LLMs Benchmarking
bookmark	0	https://github.com/karpathy/nanochat/blob/master/nanochat/gpt.py	nanochat/nanochat/gpt.py at master · karpathy/nanochat
bookmark	0	https://lmsys.org/blog/2024-01-17-sglang/	Fast and Expressive LLM Inference with RadixAttention and SGLang | LMSYS Org
bookmark	0	https://www.youtube.com/watch?v=Ny4xxErgFgQ	(1712) Efficient LLM Inference with SGLang, Lianmin Zheng, xAI - YouTube
bookmark	0	https://www.youtube.com/watch?v=hMs8VNRy5Ys	(1712) Deep Dive: Optimizing LLM inference - YouTube
bookmark	0	https://deepsense.ai/blog/llm-inference-optimization-how-to-speed-up-cut-costs-and-scale-ai-models/	LLM Inference Optimization | Speed, Cost & Scalability for AI Models
bookmark	0	https://www.dailydoseofds.com/p/kv-caching-in-llms-explained-visually/	KV Caching in LLMs, explained visually
bookmark	0	https://github.com/Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies	Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies: This repository contains a curated collection of 300+ case studies from over 80 companies, detailing practical applications and insights into machine learning (ML) system design. The contents ar
