idx	subject	confidence	is_duplicate	in_repo	drop_reason	url_rewritten	note	record_type	word_count	url	title
1	llm-inference-optimization	hi		llm-inference-optimization				PDF document	13568	https://arxiv.org/pdf/2309.06180	Efficient Memory Management for Large Language Model Serving with PagedAttention
2	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://sankalp.bearblog.dev/how-prompt-caching-works/	How prompt caching works - Paged Attention and Automatic Prefix Caching plus practical tips | sankalp's blog
3	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.aleksagordic.com/blog/vllm	Inside vLLM: Anatomy of a High-Throughput LLM Inference System - Aleksa Gordić
4	llm-inference-optimization	hi	dup	llm-inference-optimization				bookmark	0	https://www.aleksagordic.com/blog/vllm	Inside vLLM: Anatomy of a High-Throughput LLM Inference System - Aleksa Gordić
5	llm-inference-optimization	hi						bookmark	0	https://kipp.ly/transformer-inference-arithmetic/	Transformer Inference Arithmetic | kipply's blog
6	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://magazine.sebastianraschka.com/p/coding-the-kv-cache-in-llms	Understanding and Coding the KV Cache in LLMs from Scratch
7	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.baseten.co/resources/guide/the-baseten-inference-stack/	The Baseten Inference Stack | Guides
8	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://ankitbko.github.io/blog/2025/08/prompt-engineering-kv-cache/	KV-Cache Aware Prompt Engineering - How Stable Prefixes Unlock 65% Latency Improvements | F5 - Squashing Bugs
9	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://github.com/vllm-project/vllm	vllm-project/vllm: A high-throughput and memory-efficient inference and serving engine for LLMs
10	transformers	hi		llm-inference-optimization			relocate: already in LRIO urls.txt	bookmark	0	https://www.youtube.com/watch?v=kCc8FmEb1nY&t=905s	(1712) Let's build GPT: from scratch, in code, spelled out. - YouTube
11	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://docs.nvidia.com/nim/benchmarking/llm/latest/metrics.html	Metrics — NVIDIA NIM LLMs Benchmarking
12	llm-inference-optimization	hi		llm-inference-optimization			kept in LRIO: cited by Wiki/entities/KV Cache.md	bookmark	0	https://github.com/karpathy/nanochat/blob/master/nanochat/gpt.py	nanochat/nanochat/gpt.py at master · karpathy/nanochat
13	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://lmsys.org/blog/2024-01-17-sglang/	Fast and Expressive LLM Inference with RadixAttention and SGLang | LMSYS Org
14	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.youtube.com/watch?v=Ny4xxErgFgQ	(1712) Efficient LLM Inference with SGLang, Lianmin Zheng, xAI - YouTube
15	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.youtube.com/watch?v=hMs8VNRy5Ys	(1712) Deep Dive: Optimizing LLM inference - YouTube
16	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://deepsense.ai/blog/llm-inference-optimization-how-to-speed-up-cut-costs-and-scale-ai-models/	LLM Inference Optimization | Speed, Cost & Scalability for AI Models
17	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.dailydoseofds.com/p/kv-caching-in-llms-explained-visually/	KV Caching in LLMs, explained visually
18	ai-engineering	lo		llm-inference-optimization			relocate: already in LRIO urls.txt	bookmark	0	https://github.com/Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies	Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies: This repository contains a curated collection of 300+ case studies from over 80 companies, detailing practical applications and insights into machine learning (ML) system design. The contents ar
19	ai-engineering	lo		llm-inference-optimization			relocate: already in LRIO urls.txt	bookmark	0	https://github.com/aadehamid/system-design	aadehamid/system-design: Learn how to design systems at scale and prepare for system design interviews
20	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://medium.com/@lyx_62906/context-kills-vram-how-to-run-llms-on-consumer-gpus-a785e8035632	Context Kills VRAM: How to Run LLMs on consumer GPUs | by Lyx | Medium
21	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.startuphub.ai/ai-news/ai-video/2025/maximizing-kv-cache-hit-rates-wekas-open-source-context-platform-engineering/	Maximizing KV-Cache Hit Rates: WEKA's Open-Source Context Platform Engineering
22	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://ngrok.com/blog/prompt-caching	Prompt caching: 10x cheaper LLM tokens, but how? | ngrok blog
23	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://modal.com/docs/guide/high-performance-llm-inference	High-performance LLM inference | Modal Docs
24	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.chiplog.io/p/a-deep-dive-into-nvidia-rubin-cpx?r=b0xgd&utm_medium=ios&shareImageVariant=overlay&triedRedirect=true	A Deep Dive into NVIDIA Rubin CPX: History, Architecture, Splitwise/DistServe, Inference Economics, and Limitations
25	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.modular.com/blog/the-five-eras-of-kvcache	Modular: The Five Eras of KVCache
26	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://jax-ml.github.io/scaling-book/inference/	All About Transformer Inference | How To Scale Your Model
27	llm-inference-optimization	hi		llm-inference-optimization;transformers				bookmark	0	https://kipp.ly/p/transformer-inference-arithmetic	Transformer Inference Arithmetic - by kipply
28	llm-inference-optimization	hi	dup	llm-inference-optimization;transformers				bookmark	0	https://kipp.ly/p/transformer-inference-arithmetic	(1) Transformer Inference Arithmetic - by kipply
29	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://www.youtube.com/watch?v=EfM546A79aM&list=PLoROMvodv4rMqXOcazWaTUHhq-yembLCV&index=10	(3174) Stanford CS336 Language Modeling from Scratch | Spring 2026 | Lecture 10: Inference - YouTube
30	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://vizuaraai.github.io/convolution-musical-journey/visual-walkthroughs.html	Vizuara Visual Walkthrough Library
31	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://vizuaraai.github.io/convolution-musical-journey/book.html	Inference Engineering — The Workshop Book
