outcome	url	resulting_title
SKIP-DUP	https://www.royvanrijn.com/anatomy-of-an-llm/	
SKIP-DUP	https://huggingface.co/blog/torch-profiler	
SKIP-DUP	https://learn.deeplearning.ai/courses/fast-and-efficient-llm-inference-with-vllm/lesson/rm60gb/introduction	
SKIP-DUP	https://aiengineeringfromscratch.com/	
SKIP-DUP	https://build-small-hackathon-field-guide.hf.space/partners/openbmb	
MARKDOWN	https://alphaxiv.org/	Explore | alphaXiv
MARKDOWN	https://huggingface.co/datalab-to/lift	datalab-to/lift · Hugging Face
MARKDOWN	https://huggingface.co/llm-semantic-router	llm-semantic-router (vLLM Semantic Router)
MARKDOWN	https://github.com/vllm-project/semantic-router	GitHub - vllm-project/semantic-router: A programmable Mixture-of-Models router for heterogeneous LLM inference · GitHub
MARKDOWN	https://vllm-semantic-router.com/	Build Your Mixture-of-Models | vLLM Semantic Router
MARKDOWN	https://developers.redhat.com/articles/2026/06/24/optimizing-distributed-ai-inference-advanced-deployment-patterns	Optimizing distributed AI inference: Advanced deployment patterns | Red Hat Developer
MARKDOWN	https://developers.redhat.com/articles/2026/06/22/designing-distributed-ai-inference-core-concepts-and-scaling-dimensions	Designing distributed AI inference: Core concepts and scaling dimensions | Red Hat Developer
MARKDOWN	https://www.etched.com/	Etched
BOOKMARK	https://x.com/brian_armstrong/status/2070670644577280109?s=46	Brian Armstrong on X: "How to keep AI spend flat while token usage grows exponentially: Not with friction and spend alerts. With better defaults, routing, and caching. Better Defaults (not Usage Caps) – Engineers can choose any model they want, but defaults matter. We’re experimenting with default… / X
MARKDOWN	https://medium.com/@saad.ahmed1926q/kv-cache-explained-intuitively-2b425a36dfc7	Medium
MARKDOWN	https://outcomeschool.com/blog/prefill-vs-decode-llm-inference-optimization	Prefill vs Decode: LLM Inference Optimization
MARKDOWN	https://lilianweng.github.io/posts/2026-07-04-harness/	Harness Engineering for Self-Improvement | Lil'Log
MARKDOWN	https://github.com/stas00/ml-engineering	GitHub - stas00/ml-engineering: Machine Learning Engineering Open Book · GitHub
MARKDOWN	https://hamzaelshafie.bearblog.dev/paged-attention-from-first-principles-a-view-inside-vllm/	Paged Attention from First Principles: A View Inside vLLM – Hamza's Blog
MARKDOWN	https://recipes.vllm.ai/baidu/Unlimited-OCR	baidu/Unlimited-OCR | vLLM Recipes
MARKDOWN	https://github.com/videlalvaro/leet-llm	GitHub - videlalvaro/inference-school: A hands-on Swift and Metal course for building LLM inference from first principles on Apple silicon, with 48 guided lessons, runnable exercises, a native macOS Studio, and a complete companion book. · GitHub
MARKDOWN	https://www.distillabs.ai/	distil labs – Cut LLM Costs by 80% with Custom SLMs
MARKDOWN	https://github.com/google-research/	fm
BOOKMARK	https://learn.deeplearning.ai/courses/fast-llm-inference-with-cerebras/lesson/a4u81f/introduction	Fast LLM Inference with Cerebras - DeepLearning.AI
MARKDOWN	https://www.deeplearning.ai/courses/fast-llm-inference-with-cerebras	Fast LLM Inference with Cerebras - DeepLearning.AI
SKIP-DUP	https://github.com/unslothai/unsloth	
MARKDOWN	https://www.coderabbit.ai/blog/teaching-nvidia-nemotron-3-5-lightning-to-route-code-reviews	Teaching NVIDIA Nemotron 3.5 Lightning to Route Code Reviews
MARKDOWN	https://ml-visualized.com/	Machine Learning Visualized — Machine Learning Visualized
MARKDOWN	https://sebastianraschka.com/teaching/pytorch-1h/	PyTorch in One Hour | Sebastian Raschka, PhD
MARKDOWN	https://github.com/elizabetht/100-days-of-inference	GitHub - elizabetht/100-days-of-inference: 100 days of LLM inference engineering — daily posts, experiments, and visualizations · GitHub
MARKDOWN	https://learn-inference.com/	Learn Inference: inference engineering, explained interactively
MARKDOWN	https://www.jepeake.com/ai-chip-architectures	AI Chip Architectures - Jacob Peake
MARKDOWN	https://huggingface.co/blog/pwc-search	How Hugging Face Inference Endpoints, Jobs, and Buckets Power Search on Papers with Code
MARKDOWN	https://leoniemonigatti.com/blog/speculative-decoding.html	How speculative decoding makes LLMs go brrr – Leonie Monigatti
MARKDOWN	https://github.com/FlashML-org/FreeToken	GitHub - FlashML-org/FreeToken: FreeToken brings datacenter-scale model serving to your desktop. Run massive models locally, fast and efficiently. · GitHub
MARKDOWN	https://github.com/wafer-ai/gpu-perf-engineering-resources	GitHub - wafer-ai/gpu-perf-engineering-resources: A curated resource list for learning AI performance engineering, from GPU fundamentals to production inference. · GitHub
